id,kandidat,valg,parti,rangering,rangering_original,valgt,personstemmer,slengere,partistemmer,partiprosent,parti_original,count,election,total_hits,decay,hits_after_list_public,cum_hits,hits_before_list_public
kandidat001125,Ketil Vestrum Einarsen,2015,v,61,60,Ikke valgt,61,10,21986,6.86,Venstre,71,2015-09-14,13,0.219152183935169,2,26,24
kandidat001126,Khadan Nafstad,2011,sp,53,45,Ikke valgt,4,1,1591,0.51,Senterpartiet,5,2011-09-12,4,0.0542841918616549,0,4,4
kandidat001127,Khadija Ehsan,2015,v,15,27,Ikke valgt,285,31,21986,6.86,Venstre,316,NA,0,0,0,0,0
kandidat001128,Khalid Mahmood,2007,ap,3,9,Valgt,3044,306,81265,29.89,Det norske Arbeiderparti,3350,2007-09-10,839,14.3147795495756,26,1433,1407
kandidat001129,Khalid Mahmood,2011,ap,12,65,Valgt,3296,66,102707,33.1,Det norske Arbeiderparti,3362,2011-09-12,900,6.22580397736254,11,2333,2322
kandidat001130,Khalid Mahmood,2015,ap,16,43,Valgt,3577,75,102431,31.97,Arbeiderpartiet,3652,2015-09-14,284,2.47351635582131,3,2617,2614
kandidat001131,Khalid Saeed,2007,v,24,54,Ikke valgt,229,28,23703,8.72,Venstre,257,2007-09-10,5,0.536347538181086,2,21,19
kandidat001132,Khamshajiny Gunaratnam,2007,ap,11,44,Valgt,2085,38,81265,29.89,Det norske Arbeiderparti,2123,2007-09-10,57,2.57356023498204,4,57,53
kandidat001133,Khamshajiny Gunaratnam,2011,ap,13,11,Valgt,2505,178,102707,33.1,Det norske Arbeiderparti,2683,2011-09-12,305,20.9753125571828,51,362,311
kandidat001134,Khamshajiny Gunaratnam,2015,ap,3,6,Valgt,3828,203,102431,31.97,Arbeiderpartiet,4031,2015-09-14,608,8.649311661389,14,970,956
kandidat001135,Kim Andre Næss,2007,da,3,3,Ikke valgt,17,10,191000,0.07,Demokratisk Alternativ for Oslo,27,2007-09-10,1,5.78935632873066e-12,0,6,6
kandidat001136,Kim Elvegård,2007,dem,44,19,Ikke valgt,0,0,306000,0.11,Demokratene,0,2007-09-10,1,0.00045056869789003,0,1,1
kandidat001137,Kim Hartvig Gundersen,2007,sp,30,13,Ikke valgt,13,3,2189,0.81,Senterpartiet,16,NA,0,0,0,0,0
kandidat001138,Kirsten Fougner,2007,krf,15,31,Ikke valgt,81,11,8368,3.08,Kristelig Folkeparti,92,2007-09-10,6,1.48311992445468,2,24,22
kandidat001139,Kirsten Sogge,2007,h,47,53,Ikke valgt,240,5,68475,25.19,Høyre,245,NA,0,0,0,0,0
kandidat001140,Kjartan Almenning,2007,v,30,19,Ikke valgt,190,14,23703,8.72,Venstre,204,2007-09-10,16,0.691156435302612,1,17,16
kandidat001141,Kjartan Almenning,2011,v,24,18,Ikke valgt,174,26,25351,8.17,Venstre,200,2011-09-12,143,1.91358536758945,5,160,155
kandidat001142,Kjell Aksum,2007,sv,39,19,Ikke valgt,144,10,28701,10.56,Sosialistisk Venstreparti,154,2007-09-10,4,0.000297896132426571,0,8,8
kandidat001143,Kjell Andreas Grønnevik,2007,pp,3,3,Ikke valgt,39,4,1414,0.52,Pensjonistpartiet,43,2007-09-10,2,4.87777225061895e-08,0,2,2
kandidat001144,Kjell Andreas Grønnevik,2011,pp,4,3,Ikke valgt,27,7,1045,0.34,Pensjonistpartiet,34,2011-09-12,1,1.19923127092213e-08,0,3,3
kandidat001145,Kjell Benum,2007,mdg,48,47,Ikke valgt,6,1,1687,0.62,Miljøpartiet De Grønne,7,NA,0,0,0,0,0
kandidat001146,Kjellbjørn Møller,2007,ksp,4,4,Ikke valgt,8,4,158000,0.06,Kristent Samlingsparti,12,NA,0,0,0,0,0
